person_age,annual_inc,home_ownership,employment_length,loan_intent,loan_grade,loan_amt,interest_rate,target_flag,income_ratio,employment_type,residence_type,credit_score,monthly_income
23,,own,7.0,venture,d,8000.0,15.65,0,0.22,employed,urban,739.0,4620.0
29,74000.0,rent,13.0,homeimprovement,b,11500.0,,0,0.16,self-employed,rural,509.0,8100.0
23,70872.0,rent,7.0,debtconsolidation,c,10000.0,,0,0.14,employed,rural,501.0,6180.0
28,52000.0,mortgage,5.0,homeimprovement,b,2800.0,10.99,0,0.05,employed,urban,625.0,1500.0
24,53184.0,mortgage,8.0,personal,b,,10.99,0,0.25,self-employed,urban,,4260.0
26,48000.0,rent,10.0,education,b,4225.0,9.83,0,0.09,self-employed,urban,535.0,3840.0
44,171996.0,mortgage,19.0,venture,b,25000.0,9.62,0,0.15,self-employed,urban,668.0,3660.0
31,,mortgage,4.0,education,a,19150.0,6.99,0,0.24,employed,urban,900.0,3600.0
24,118000.0,mortgage,8.0,homeimprovement,a,5000.0,5.42,0,0.04,self-employed,urban,749.0,15060.0
35,19200.0,rent,2.0,venture,a,3675.0,8.49,1,0.19,self_emp,urban,666.0,9540.0
51,28000.0,rent,3.0,venture,b,8000.0,11.86,0,0.29,self-employed,rural,823.0,6900.0
25,80000.0,mortgage,9.0,venture,d,14000.0,15.62,0,0.17,self-employed,rural,801.0,4860.0
29,85000.0,rent,3.0,education,a,,6.92,0,0.08,employed,urban,,5160.0
24,,own,3.0,homeimprovement,a,9800.0,7.51,0,0.18,self-employed,urban,,1500.0
22,100000.0,mortgage,3.0,venture,b,12000.0,11.11,0,0.12,self-employed,rural,,10980.0
22,37000.0,mortgage,3.0,debtconsolidation,a,15000.0,6.54,0,0.41,self-employed,rural,695.0,4560.0
36,,rent,5.0,venture,c,16500.0,13.61,0,0.23,employed,rural,833.0,10980.0
24,72000.0,rent,8.0,education,a,14000.0,7.9,0,0.19,self-employed,rural,620.0,2100.0
32,60000.0,mortgage,2.0,venture,b,7125.0,9.99,0,0.12,employed,urban,,11460.0
23,20000.0,mortgage,2.0,medical,b,6400.0,10.65,0,0.32,employed,rural,848.0,6360.0
23,50400.0,mortgage,7.0,education,a,8375.0,7.51,0,0.17,employed,rural,704.0,4740.0
21,80400.0,rent,5.0,venture,a,14400.0,,0,0.18,self-employed,urban,705.0,2880.0
29,70004.0,rent,0.0,medical,a,,9.63,0,0.11,employed,urban,644.0,7200.0
40,125000.0,rent,,debtconsolidation,b,24250.0,,0,0.19,self_emp,urban,710.0,7200.0
24,47928.0,rent,1.0,medical,b,6000.0,12.53,0,0.13,self-employed,urban,,6180.0
22,128165.0,rent,,debtconsolidation,a,,8.94,0,0.11,employed,urban,613.0,14880.0
28,38000.0,mortgage,,venture,a,8400.0,7.51,0,0.22,self_emp,urban,828.0,8640.0
33,36000.0,mortgage,3.0,personal,a,7800.0,7.14,0,0.22,employed,urban,838.0,4260.0
23,50004.0,mortgage,7.0,education,a,2700.0,5.99,0,0.05,self-employed,rural,587.0,2340.0
22,,mortgage,,venture,c,7000.0,12.98,0,0.14,employed,urban,897.0,7500.0
21,57500.0,mortgage,6.0,venture,a,4000.0,7.9,0,0.07,employed,urban,,17940.0
25,65000.0,mortgage,0.0,venture,a,12000.0,7.9,0,0.18,self-employed,urban,562.0,8400.0
25,58000.0,mortgage,,medical,b,17000.0,10.95,0,0.29,self_emp,rural,833.0,3120.0
36,62400.0,mortgage,13.0,venture,c,14100.0,12.98,0,0.23,employed,urban,516.0,1500.0
26,38000.0,mortgage,,homeimprovement,d,15000.0,15.33,0,0.39,employed,rural,692.0,1500.0
26,78000.0,rent,6.0,debtconsolidation,c,18000.0,13.49,0,0.23,employed,rural,700.0,6000.0
23,56900.0,mortgage,7.0,medical,b,11200.0,,0,0.2,self_emp,rural,705.0,16500.0
23,38000.0,rent,4.0,personal,b,10000.0,10.99,0,0.26,self_emp,rural,549.0,7500.0
44,24000.0,own,5.0,education,d,5000.0,14.74,0,0.21,self_emp,rural,761.0,7440.0
26,36000.0,rent,4.0,venture,b,5000.0,10.37,0,0.14,self_emp,urban,587.0,11040.0
29,,mortgage,0.0,venture,b,25000.0,10.08,0,0.17,self_emp,rural,531.0,6000.0
28,52000.0,rent,12.0,venture,a,10000.0,6.92,0,0.19,self_emp,rural,,1500.0
36,45000.0,mortgage,21.0,homeimprovement,b,2000.0,9.88,0,0.04,employed,urban,786.0,98220.0
27,70000.0,mortgage,11.0,personal,a,5600.0,5.42,0,0.08,self_emp,rural,559.0,5940.0
27,58000.0,rent,5.0,homeimprovement,a,5900.0,9.32,0,0.1,employed,rural,677.0,3060.0
24,,rent,1.0,education,c,3900.0,12.23,0,0.1,employed,rural,750.0,8100.0
22,50000.0,mortgage,6.0,education,a,4800.0,6.03,0,0.1,employed,urban,723.0,6840.0
29,50000.0,rent,,medical,a,3000.0,7.29,0,0.06,employed,rural,667.0,2640.0
23,65000.0,own,7.0,medical,c,10000.0,13.98,0,0.15,employed,rural,578.0,14640.0
27,84000.0,mortgage,3.0,debtconsolidation,a,7000.0,7.29,0,0.08,employed,urban,509.0,7920.0
25,108000.0,mortgage,0.0,homeimprovement,b,,11.71,0,0.19,self_emp,urban,594.0,2940.0
22,25000.0,rent,0.0,medical,c,7000.0,12.87,0,0.28,employed,urban,764.0,4080.0
30,70000.0,mortgage,,medical,a,6000.0,,0,0.09,employed,urban,589.0,6780.0
22,59600.0,mortgage,6.0,personal,a,6000.0,5.42,0,0.1,employed,urban,654.0,16320.0
34,103000.0,mortgage,5.0,venture,b,16000.0,10.62,0,0.16,employed,urban,896.0,8880.0
27,56253.0,rent,11.0,venture,b,10000.0,11.36,0,0.18,self_emp,rural,,4680.0
23,41496.0,own,4.0,venture,e,,,0,0.17,employed,rural,842.0,6540.0
31,,rent,2.0,debtconsolidation,a,3000.0,7.49,0,0.13,self-employed,rural,521.0,7980.0
29,27600.0,rent,2.0,education,a,7500.0,6.62,0,0.27,self_emp,urban,584.0,10320.0
25,25200.0,rent,0.0,debtconsolidation,b,6000.0,,0,0.24,employed,urban,774.0,6480.0
25,125000.0,mortgage,9.0,personal,b,12000.0,11.11,0,0.1,employed,rural,651.0,5640.0
31,,mortgage,15.0,homeimprovement,b,6000.0,12.69,0,0.08,self_emp,urban,546.0,14100.0
22,60000.0,mortgage,6.0,education,d,2500.0,15.99,0,0.04,employed,urban,699.0,6720.0
23,65000.0,mortgage,,debtconsolidation,a,5400.0,8.9,0,0.08,employed,rural,,8880.0
35,88000.0,rent,2.0,personal,a,13600.0,7.9,0,0.15,self-employed,rural,621.0,6840.0
24,100000.0,mortgage,0.0,homeimprovement,c,10000.0,12.87,0,0.1,self_emp,rural,,10020.0
24,30000.0,rent,5.0,venture,c,8000.0,14.26,0,0.27,employed,rural,693.0,4260.0
22,61000.0,mortgage,6.0,education,a,,7.49,0,0.2,employed,urban,794.0,10800.0
23,26976.0,rent,4.0,personal,a,,7.51,1,0.33,self-employed,rural,526.0,5100.0
22,31200.0,rent,3.0,education,b,,11.86,0,0.1,self_emp,rural,643.0,8400.0
30,105000.0,mortgage,5.0,education,b,,11.83,0,0.19,employed,urban,573.0,4620.0
23,93000.0,rent,6.0,education,c,10000.0,14.26,0,0.11,employed,rural,805.0,7140.0
30,230000.0,mortgage,14.0,debtconsolidation,c,12000.0,13.98,0,0.05,self-employed,urban,780.0,10200.0
24,56533.0,mortgage,,homeimprovement,b,20000.0,11.11,0,0.35,employed,urban,881.0,1500.0
29,75000.0,mortgage,7.0,education,a,6125.0,,0,0.08,employed,rural,870.0,3900.0
23,48000.0,mortgage,8.0,venture,a,10500.0,7.51,0,0.22,self_emp,urban,743.0,4740.0
24,120000.0,mortgage,8.0,venture,a,20000.0,7.9,0,0.17,employed,rural,877.0,4680.0
33,,rent,,medical,a,12000.0,,0,0.16,self_emp,rural,863.0,2400.0
29,43108.0,rent,7.0,venture,a,7200.0,6.03,0,0.17,employed,urban,857.0,8640.0
26,100000.0,mortgage,7.0,venture,a,9200.0,6.03,0,0.09,self-employed,rural,563.0,2520.0
36,,mortgage,2.0,personal,a,12000.0,,0,0.22,employed,urban,614.0,9660.0
22,26400.0,own,1.0,personal,c,7300.0,13.61,0,0.28,self_emp,urban,794.0,3300.0
30,60000.0,rent,0.0,personal,b,12000.0,11.71,0,0.2,self_emp,urban,883.0,2280.0
23,55000.0,mortgage,7.0,venture,a,5200.0,,0,0.09,self-employed,rural,570.0,5640.0
24,56000.0,mortgage,5.0,medical,a,17400.0,,0,0.31,employed,urban,669.0,6840.0
23,49000.0,mortgage,7.0,education,c,4000.0,13.99,0,0.08,employed,urban,853.0,4080.0
27,,mortgage,11.0,debtconsolidation,a,24000.0,,0,0.21,self-employed,rural,866.0,7860.0
24,65000.0,mortgage,1.0,medical,a,10000.0,8.59,0,0.15,employed,urban,,2280.0
30,143000.0,mortgage,11.0,personal,a,,8.49,0,0.13,employed,urban,546.0,5820.0
28,75000.0,mortgage,,medical,b,20000.0,12.18,0,0.27,employed,rural,,3600.0
23,60000.0,rent,6.0,debtconsolidation,b,22000.0,10.25,1,0.37,employed,rural,,10980.0
23,113200.0,mortgage,3.0,education,b,24250.0,10.62,0,0.21,self-employed,urban,603.0,10320.0
23,69000.0,rent,,education,d,3800.0,15.28,1,0.06,self_emp,urban,602.0,1500.0
28,158367.0,mortgage,5.0,medical,a,12000.0,6.62,0,0.08,employed,rural,701.0,3600.0
22,52000.0,mortgage,5.0,education,a,6000.0,7.9,0,0.12,employed,urban,,7020.0
28,90000.0,mortgage,12.0,homeimprovement,c,,14.79,0,0.06,employed,rural,,3720.0
35,55000.0,mortgage,14.0,personal,a,15000.0,8.49,0,0.27,employed,urban,861.0,75420.0
26,115000.0,mortgage,6.0,homeimprovement,c,15000.0,12.87,0,0.13,self_emp,urban,528.0,16140.0
25,,rent,2.0,venture,a,4000.0,7.75,0,0.17,employed,urban,661.0,4920.0
25,74000.0,own,1.0,venture,a,16000.0,8.49,0,0.22,employed,rural,534.0,6720.0
26,120000.0,mortgage,10.0,homeimprovement,c,20000.0,13.79,0,0.17,employed,rural,882.0,5640.0
31,39000.0,rent,5.0,medical,b,9000.0,10.71,0,0.23,self-employed,rural,,4260.0
24,,mortgage,4.0,homeimprovement,b,10000.0,,0,0.07,employed,rural,559.0,5820.0
35,77268.0,mortgage,11.0,education,c,7500.0,11.03,0,0.1,self_emp,rural,696.0,4740.0
28,,mortgage,12.0,debtconsolidation,a,8000.0,6.76,0,0.07,employed,urban,876.0,12240.0
29,56048.0,rent,4.0,personal,a,,6.39,0,0.09,self_emp,urban,855.0,8760.0
23,,mortgage,7.0,personal,c,2000.0,14.26,0,0.03,self_emp,rural,736.0,2940.0
28,142000.0,mortgage,3.0,education,b,18000.0,10.38,0,0.13,employed,urban,,4560.0
30,31200.0,rent,0.0,education,c,3100.0,13.35,0,0.1,employed,rural,681.0,3480.0
30,52000.0,mortgage,4.0,education,c,4200.0,,0,0.08,employed,rural,883.0,4380.0
27,60000.0,rent,3.0,venture,f,7000.0,19.47,0,0.12,self-employed,rural,753.0,7620.0
29,52000.0,mortgage,6.0,medical,b,7800.0,10.36,0,0.15,employed,urban,813.0,15480.0
24,55000.0,rent,5.0,homeimprovement,a,10000.0,5.42,0,0.18,self-employed,rural,848.0,5580.0
25,52000.0,rent,3.0,education,b,7200.0,12.69,0,0.14,self-employed,rural,658.0,12780.0
24,36500.0,mortgage,0.0,education,c,7000.0,13.16,0,0.19,self-employed,rural,897.0,2340.0
31,75000.0,rent,2.0,venture,a,6000.0,7.68,0,0.08,self_emp,rural,782.0,4380.0
26,63000.0,mortgage,3.0,homeimprovement,c,3800.0,12.04,0,0.06,employed,urban,,1560.0
22,34992.0,rent,1.0,personal,b,,,0,0.14,employed,rural,537.0,3720.0
25,50000.0,rent,0.0,education,a,2900.0,8.0,0,0.06,employed,rural,,3300.0
31,,rent,,medical,a,1800.0,8.59,0,0.07,employed,rural,719.0,12180.0
30,120000.0,rent,0.0,homeimprovement,a,4800.0,7.4,0,0.04,self-employed,rural,900.0,7380.0
24,54000.0,mortgage,5.0,medical,b,9000.0,11.14,0,0.17,self-employed,rural,701.0,9540.0
38,72000.0,mortgage,8.0,debtconsolidation,a,,5.99,0,0.08,employed,rural,,10860.0
31,29000.0,mortgage,6.0,personal,d,5000.0,15.99,0,0.17,employed,rural,511.0,4440.0
24,122000.0,rent,4.0,education,b,15000.0,11.58,0,0.12,employed,urban,647.0,15360.0
31,,rent,1.0,medical,b,,,0,0.09,employed,rural,786.0,8520.0
23,90000.0,rent,5.0,medical,a,8000.0,6.92,0,0.09,self_emp,rural,664.0,12180.0
22,49920.0,mortgage,1.0,education,c,10000.0,,0,0.2,employed,rural,882.0,1500.0
33,51000.0,mortgage,,medical,a,7200.0,,0,0.14,self_emp,rural,772.0,4980.0
38,313000.0,mortgage,0.0,debtconsolidation,c,21600.0,,0,0.07,self_emp,rural,673.0,5280.0
25,46500.0,rent,1.0,education,b,6000.0,8.88,0,0.13,employed,rural,698.0,1500.0
30,33000.0,rent,4.0,medical,c,1000.0,14.79,0,0.03,self-employed,urban,603.0,1740.0
28,50000.0,rent,12.0,debtconsolidation,b,,10.74,0,0.2,self_emp,urban,704.0,9300.0
30,120000.0,mortgage,8.0,homeimprovement,b,3000.0,11.49,0,0.03,employed,urban,629.0,3780.0
39,31200.0,rent,,personal,b,,11.49,0,0.21,self_emp,rural,708.0,4560.0
22,40000.0,mortgage,1.0,education,a,4800.0,5.42,0,0.12,self_emp,rural,647.0,6000.0
29,158000.0,own,13.0,venture,a,11000.0,8.49,0,0.07,employed,urban,,1500.0
26,69912.0,mortgage,9.0,venture,a,8000.0,6.99,0,0.11,employed,urban,796.0,0.0
23,,mortgage,5.0,medical,b,8000.0,11.49,0,0.08,self-employed,urban,692.0,9720.0
25,45000.0,mortgage,7.0,education,a,7500.0,8.0,0,0.17,employed,urban,805.0,4080.0
33,34000.0,rent,5.0,venture,b,2400.0,11.99,0,0.07,employed,rural,710.0,1500.0
31,33600.0,mortgage,3.0,venture,a,7000.0,7.14,0,0.21,self_emp,rural,569.0,12840.0
24,,rent,5.0,homeimprovement,a,7000.0,,0,0.06,self-employed,urban,596.0,1500.0
23,85000.0,mortgage,7.0,debtconsolidation,a,,8.63,0,0.08,self_emp,rural,,4680.0
23,60000.0,mortgage,7.0,debtconsolidation,a,7200.0,,0,0.12,self_emp,rural,731.0,10860.0
26,38100.0,mortgage,6.0,venture,a,,7.9,0,0.1,employed,rural,603.0,11760.0
24,176004.0,mortgage,2.0,debtconsolidation,b,3200.0,10.0,0,0.02,employed,urban,837.0,4020.0
33,,rent,7.0,homeimprovement,d,13000.0,,0,0.17,employed,urban,863.0,5520.0
30,48000.0,rent,4.0,medical,a,7500.0,,0,0.16,employed,urban,528.0,4620.0
26,61200.0,rent,9.0,personal,b,3200.0,9.91,0,0.05,self-employed,urban,641.0,16920.0
23,60000.0,mortgage,,education,a,15000.0,7.9,0,0.25,employed,rural,568.0,6960.0
26,77368.0,rent,1.0,venture,b,,10.0,0,0.19,employed,urban,641.0,8340.0
44,80000.0,mortgage,,venture,d,25000.0,15.33,0,0.31,employed,rural,775.0,2400.0
25,54000.0,mortgage,7.0,education,b,5500.0,10.59,0,0.1,self_emp,rural,875.0,4320.0
33,32004.0,rent,3.0,personal,a,4000.0,8.32,0,0.12,employed,rural,655.0,3000.0
27,140000.0,mortgage,4.0,personal,b,2800.0,11.99,0,0.02,self_emp,rural,,10380.0
28,48879.0,rent,4.0,personal,b,5000.0,,0,0.1,self-employed,urban,827.0,4560.0
23,75000.0,mortgage,7.0,venture,b,5400.0,12.69,0,0.07,self-employed,rural,634.0,3240.0
22,30000.0,rent,0.0,education,a,,6.03,0,0.14,employed,urban,799.0,16740.0
26,60000.0,rent,,debtconsolidation,a,16000.0,7.49,0,0.27,employed,urban,637.0,5160.0
34,30000.0,mortgage,4.0,debtconsolidation,a,4300.0,7.9,0,0.14,self_emp,urban,855.0,7800.0
21,37000.0,rent,0.0,personal,b,4000.0,10.08,0,0.11,self_emp,rural,,3060.0
27,36000.0,mortgage,6.0,venture,b,,11.49,0,0.11,self_emp,rural,760.0,2940.0
34,103000.0,mortgage,,venture,a,3525.0,5.42,0,0.03,employed,urban,816.0,3480.0
23,,rent,4.0,education,b,25000.0,10.36,0,0.17,self_emp,urban,754.0,1200.0
25,85000.0,mortgage,9.0,debtconsolidation,b,24000.0,10.99,0,0.28,employed,rural,635.0,4320.0
24,,mortgage,4.0,venture,b,19750.0,11.12,0,0.26,self_emp,urban,535.0,2460.0
28,131040.0,mortgage,0.0,medical,c,10000.0,13.35,0,0.08,self-employed,rural,897.0,4020.0
22,30000.0,rent,1.0,education,b,,10.65,0,0.2,self-employed,urban,617.0,9180.0
34,38769.0,mortgage,3.0,debtconsolidation,a,,8.9,0,0.06,employed,rural,866.0,4260.0
22,49500.0,rent,7.0,medical,c,2500.0,14.27,0,0.05,self_emp,rural,891.0,3120.0
22,60000.0,rent,1.0,education,a,6850.0,,0,0.11,employed,rural,708.0,5880.0
23,,mortgage,1.0,debtconsolidation,b,5000.0,10.59,0,0.1,self-employed,urban,822.0,3120.0
28,70000.0,rent,,medical,b,13000.0,12.18,0,0.19,self-employed,rural,623.0,3840.0
30,200000.0,own,,venture,a,16000.0,,0,0.08,self_emp,urban,640.0,5700.0
31,42100.0,rent,4.0,debtconsolidation,b,5000.0,10.36,0,0.12,employed,urban,633.0,5820.0
23,90000.0,mortgage,1.0,education,a,4000.0,5.42,0,0.04,self-employed,urban,823.0,4560.0
26,34000.0,rent,5.0,venture,a,,7.9,0,0.22,employed,urban,663.0,6840.0
22,55000.0,mortgage,2.0,medical,c,4800.0,12.98,0,0.09,self-employed,urban,,12900.0
25,38000.0,mortgage,,venture,b,18800.0,,0,0.49,employed,rural,,7200.0
24,,rent,8.0,homeimprovement,e,10000.0,18.64,0,0.11,employed,urban,762.0,1080.0
25,80000.0,mortgage,5.0,venture,a,,5.99,0,0.15,employed,urban,546.0,3900.0
23,45600.0,own,7.0,education,a,,7.9,0,0.31,employed,urban,671.0,3840.0
24,42000.0,mortgage,2.0,personal,a,10000.0,7.49,0,0.24,employed,rural,814.0,5700.0
22,52000.0,rent,3.0,education,c,5200.0,,0,0.1,employed,urban,639.0,3720.0
22,36000.0,own,6.0,education,b,,9.63,0,0.21,employed,rural,849.0,7200.0
26,,rent,10.0,education,a,28000.0,8.9,0,0.25,self_emp,urban,729.0,8220.0
24,84200.0,rent,8.0,medical,c,24500.0,13.85,0,0.29,employed,rural,828.0,4740.0
29,160000.0,mortgage,8.0,education,a,7000.0,,0,0.04,self-employed,urban,896.0,5460.0
26,,rent,3.0,medical,b,1800.0,11.36,0,0.05,employed,rural,595.0,3420.0
27,,mortgage,11.0,education,b,7500.0,,0,0.09,self_emp,urban,576.0,10080.0
24,52000.0,mortgage,,venture,b,15000.0,10.0,0,0.29,employed,urban,734.0,9720.0
23,38000.0,own,,venture,b,17500.0,11.11,0,0.46,self-employed,rural,559.0,4500.0
22,28000.0,own,1.0,venture,a,12300.0,6.62,0,0.44,self-employed,rural,513.0,4800.0
31,42000.0,rent,12.0,personal,b,12000.0,,0,0.29,self-employed,rural,758.0,8220.0
27,,mortgage,1.0,personal,c,6000.0,13.49,0,0.13,employed,rural,863.0,14160.0
21,40000.0,rent,5.0,venture,a,10000.0,,0,0.25,employed,rural,621.0,6600.0
25,39996.0,own,2.0,venture,a,12000.0,8.94,0,0.3,self_emp,rural,521.0,6720.0
22,72000.0,mortgage,,venture,b,,9.83,0,0.35,employed,urban,695.0,13080.0
37,63000.0,rent,1.0,debtconsolidation,a,14900.0,,0,0.24,self-employed,urban,709.0,1380.0
33,65000.0,rent,3.0,debtconsolidation,c,7000.0,14.26,0,0.11,employed,urban,845.0,1500.0
23,96260.0,mortgage,0.0,education,d,25200.0,15.65,0,0.26,self_emp,urban,503.0,7200.0
26,92700.0,mortgage,6.0,education,b,,,0,0.02,employed,rural,672.0,8400.0
22,110000.0,mortgage,7.0,debtconsolidation,c,8000.0,13.85,0,0.07,employed,urban,,4080.0
25,42000.0,rent,1.0,venture,b,10000.0,10.99,0,0.24,employed,rural,700.0,9600.0
22,32484.0,mortgage,6.0,homeimprovement,a,6250.0,7.51,1,0.19,employed,rural,884.0,1740.0
25,253000.0,mortgage,5.0,homeimprovement,f,25000.0,17.26,1,0.1,employed,rural,737.0,1800.0
33,57500.0,rent,2.0,medical,b,2000.0,,0,0.03,employed,rural,739.0,5400.0
24,70000.0,mortgage,6.0,venture,a,,7.88,0,0.09,self-employed,urban,,3720.0
33,28800.0,rent,5.0,medical,b,4000.0,9.88,0,0.14,employed,urban,503.0,15660.0
22,43000.0,mortgage,0.0,personal,b,,10.37,0,0.15,employed,rural,839.0,9480.0
